 ,,Composition (at%),,,,,,,,,,,,,,Processing,,20 C=RT,,,,,,,,,,Phases,,,,,,,,,,,Properties,,,,,,,,,,,,,,,
"Realizing strength-ductility combination of coarse-grained Al0.2Co1.5CrFeNi1.5Ti0.3 alloy via nano-sized, coherent precipitates",HEA (Al0.2Co1.5CrFeNi1.5Ti0.3) [Solution-Annealed],18.2,27.3,27.3,0,0,18.2,3.6,5.5,0,0,0,0,0,0,1,1200,48 h,1,1100,≈85%,1,1150,180 min,0,,,Face-centered cubic (FCC; classification: 1),100,,,,,,,,,,917,,540,,,50,,,,,,,,,,
"Realizing strength-ductility combination of coarse-grained Al0.2Co1.5CrFeNi1.5Ti0.3 alloy via nano-sized, coherent precipitates",HEA (Al0.2Co1.5CrFeNi1.5Ti0.3) [Aged at 800°C for 50h],18.2,27.3,27.3,0,0,18.2,3.6,5.5,0,0,0,0,0,0,1,1200,48 h,1,1100,≈85%,1,1150,180 min,1,800,50 h,Face-centered cubic (FCC; classification: 1),63.2,"L12 Ni3(Ti,Al)",45 nm,36.8,,,,,,,1160,,,,,,,,,,,,,,,
"Realizing strength-ductility combination of coarse-grained Al0.2Co1.5CrFeNi1.5Ti0.3 alloy via nano-sized, coherent precipitates",HEA (Al0.2Co1.5CrFeNi1.5Ti0.3) [Aged at 800°C for 100h],18.2,27.3,27.3,0,0,18.2,3.6,5.5,0,0,0,0,0,0,1,1200,48 h,1,1100,≈85%,1,1150,180 min,1,800,100 h,Face-centered cubic (FCC; classification: 1),57.1,"L12 Ni3(Ti,Al)",51 nm,42.9,,,,,,,1160,,750,,,12,,,,,,,,,,
Self-ion irradiation response of (CoCrFeNi)94 Ti2Al4 alloy containing coherent nanoprecipitates,CoCrFeNi,25,25,25,0,25,0,0,0,0,0,0,0,0,0,1 (Yes),1423 K ≈ 1150 °C,24 h,1 (Yes),Room temperature (20 °C),85% thickness reduction,1 (Yes),1423 K ≈ 1150 °C,72 h (converted to 4320 min),0,,,Face‐centered cubic (FCC) (classified as 1),100,,,,,,,,,,,,,,,,,,,,,,,,,
Self-ion irradiation response of (CoCrFeNi)94 Ti2Al4 alloy containing coherent nanoprecipitates,(CoCrFeNi)₉₄Ti₂Al₄,23.5,23.5,23.5,0,23.5,4,2,0,0,0,0,0,0,0,1 (Yes),1473 K ≈ 1200 °C,4 h,1 (Yes),Room temperature (20 °C),70% thickness reduction,1 (Yes),1273 K ≈ 1000 °C,4 h (converted to 240 min),1,1073 K ≈ 800 °C,1 h,Face‐centered cubic (FCC) → Code 1,,L1₂ coherent nanoprecipitates → Code 1 (L12),"ca. 6.5 ± 1.2 nm (the unirradiated state is reported at ~6.5 nm, with a slight increase to ~7.1 nm after irradiation)",,L1₂ (same ordered phase as the primary precipitates) → Code 1 (L12),,,,,,,,,,,,,,,,,,,,,
"Solid Solubility, precipitates, and stacking fault energy of micro-alloyed CoCrFeNi high entropy alloys",CoCrFeNi,25,25,25,0,25,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,750,800,1,~100% (no detectable precipitates),,,,,,,,,,,,,,Measured using an HMV‐T2 tester under a load of 1 kg for 15 s; lowest of all four investigated HEAs,,,,,,,,,,,
"Solid Solubility, precipitates, and stacking fault energy of micro-alloyed CoCrFeNi high entropy alloys",CoCrFeNiTi0.1,27.86,16.56,26.58,0,28.4,0,0.6,0,0,0,0,0,0,0,0,,,0,,,0,,,1,750,800,1,,1,,,4,,,11,,,,,,,"Exhibits highest hardness among the four HEAs studied; tested using an HMV‐T2 Vickers hardness tester (load: 1 kg, dwell time: 15 s); no numerical value reported",,,,,,,,,,,
"Solid Solubility, precipitates, and stacking fault energy of micro-alloyed CoCrFeNi high entropy alloys",CoCrFeNiAl0.1,25.01,22.94,24.53,0,25.22,2.3,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,750,800,1,Nearly 100%,"s phase (interpreted as Cr‐rich σ phase, code 6)",,,,,,,,,,,,,"Slightly higher than CoCrFeNi HEA; Vickers hardness (1 kg load, 15 s) test performed; no numerical value provided",,,,,,,,,,,
"Solid Solubility, precipitates, and stacking fault energy of micro-alloyed CoCrFeNi high entropy alloys",CoCrFeNiMo0.2,23.73,23.14,"22.96 is only for matrix, not entire material",0,"27.16 is only for matrix, not entire material",0,0,0,0,0,0,0,3.01,0,0,,,0,,,0,,,1,750,800,1,,"m phase (mu phase, code 9)",,,"s phase (sigma phase, code 6)",,,,,,,,,,,,,,,,,,,,,
Synergistic effect of Ti and Al on L12-phase disign in CoCrFeNi-based high entropy alloys,Ti1Al3 HEA,20,20,20,0,0,20,15,5,0,0,0,0,0,0,Yes,1100,5 hr,Cold rolling,20,80,0,,,1,800,1 hr,Face‐centered cubic (FCC) (Classification value: 1),"Not explicitly given; the XRD and SADP indicate that the FCC phase is dominant (i.e., nearly 100% minus a few low‐volume precipitates)",L12 phase (classification code: 1),,,B2,,,,,,,,,,,,,,,,,,,,,
Synergistic effect of Ti and Al on L12-phase disign in CoCrFeNi-based high entropy alloys,Ti1Al1 HEA,20,20,20,0,0,20,10,10,0,0,0,0,0,0,Yes,1100,5 hr,Cold rolling,20,80,0,,,1,800,1 hr,Face‑Centered Cubic (classification code: 1),"Nearly the entire microstructure (estimated ≈95% or higher, since no obvious precipitates were detected by XRD/SEM)",L12 phase (classification code: 1),Approximately 10 nm (spherical particles as identified by APT),Very low (trace level; estimated around 5% or less),,,,,,,,,,,,,,,,,,,,,,
Synergistic effect of Ti and Al on L12-phase disign in CoCrFeNi-based high entropy alloys,Ti3Al1 HEA,20,20,20,0,0,20,5,15,0,0,0,0,0,0,Yes,1100,5 hr,Cold rolling,20,80,0,,,1,800,1 hr,Face‑Centered Cubic (FCC),Not explicitly quantified; FCC is the dominant phase with visible η and σ precipitates and minor L12 ordering,η phase(code: 4),,,σ phase(code 6),,,L12 superlattice ordering,,,,,,,,,,,,,,,,,,
Ultrahigh strength and ductility in newly developted materials with coherent nanolamellar architectures,CNL alloy,21.9,32.8,21.9,0,10.9,7.5,5,0,0,0,0,0,0,0,1,1150 °C,2 hours,1,20 °C,90%,0,,,1,600 °C,8 hours,1,56,1,30,44,,,,,,,2118 ± 34 MPa,,2026 ± 20 MPa,,,16% uniform elongation,,,,,,,,,,
Ultrahigh strength and ductility in newly developted materials with coherent nanolamellar architectures,Severely deformed alloy,21.9,32.8,21.9,0,10.9,7.5,5,0,0,0,0,0,0,0,1,1150 °C,2 hours,1,20 °C,90%,0,,,0,,,Face‑Centered Cubic (FCC) [Classification Code = 1],100,,,,,,,,,,,,,,,~1% uniform elongation,,,,,,,,,,
Ultrahigh strength and ductility in newly developted materials with coherent nanolamellar architectures,Conventionally processed alloy,21.9,32.8,21.9,0,10.9,7.5,5,0,0,0,0,0,0,0,1,1150 °C,2 hours,1,20 °C,90%,1,1150 °C,3 min,1,600 °C,8 hours,1,100,,,,,,,,,,,,,,,,,,,,,,,,,
A high-strength precipitation hardened cobalt-free high-entropy alloy,Bulk HEA (Fe26.4Ni26.4Mn26.4Cr8.8Ti4Al8) - Homogenized,26.4,26.4,0,26.4,8.8,8,4,0,0,0,0,0,0,0,Yes (1),1100,48,0,,,0,,,0,,,Face‐centered cubic (FCC),100,,,,,,,,,,746,,375,,151 HV,18,,,,,,,,,,
A high-strength precipitation hardened cobalt-free high-entropy alloy,Bulk HEA (Fe26.4Ni26.4Mn26.4Cr8.8Ti4Al8) - Peak Aged,26.4,26.4,0,26.4,8.8,8,4,0,0,0,0,0,0,0,Yes (1),1100,48,0,,,0,,,1,650,120,Face‐centered cubic (FCC),38.83 ± 6.81,"γ′ (Ni3(Ti,Al)) code:1",22.1 ± 3.6 nm,10.08 ± 1.77,B2,330 ± 56 nm,28.95 ± 3.19,χ code:6,360 ± 72 nm,22.14 ± 5.39,,2151,,1800,535 HV,,3.8 ± 0.1,,,,,,,,,
A new strategy of tailoring strength and ductility of CoCrFeNi based high-entropy alloy,CoCrFeNi,25,25,25,0,25,0,0,0,0,0,0,0,0,0,1,1200,19,1,20,60,0,,,1,700,16,1,100,,,,,,,,,,580,,256,,,60,,,,,,,,,,
A new strategy of tailoring strength and ductility of CoCrFeNi based high-entropy alloy,CoCrFeNi(Ni3Al)0.25 HEA,19.17,38.99,21.71,0,16.65,3.48,0,0,0,0,0,0,0,0,Yes,1200,19 h,Yes (cold rolling),20 °C (room temperature),60,0,,,1,700,16 h,Face‐Centered Cubic (FCC) – (classification code 1),80.3,L12 (ordered Ni3Al),33.7(diameter),19.7,,,,,,,,,,,,,,1396,,,,,,,,
A new strategy of tailoring strength and ductility of CoCrFeNi based high-entropy alloy,CoCrFeNi(Ni3Al)0.5 HEA,17.38,41.82,17.69,0,16.47,6.63,0,0,0,0,0,0,0,0,Yes,1200,19 h,Yes (cold rolling),20 °C (room temperature),60,0,,,1,700,16 h,Face‐Centered Cubic (FCC) (Classification Code: 1),67,L12 (ordered Ni3Al),33.7(diameter),33,,,,,,,,,,,,,,,,,,,,,,
A new strategy of tailoring strength and ductility of CoCrFeNi based high-entropy alloy,CoCrFeNi(Ni3Al)0.75 HEA,14.1,47.48,14.86,0,13.54,10.02,0,0,0,0,0,0,0,0,Yes,1200,19 h,Yes (cold rolling),20 °C (room temperature),60,0,,,1,700,16 h,Face‐Centered Cubic (FCC) – (Classification code 1),57.6,L12 (ordered Ni3Al),33.7(diameter),42.4,,,,,,,1200(tensile fracture strength),,910,,,14,,,,,,,,,,
A new strategy of tailoring strength and ductility of CoCrFeNi based high-entropy alloy,CoCrFeNi(Ni3Al)1 HEA,12.25,52.59,13.25,0,11.39,10.52,0,0,0,0,0,0,0,0,Yes,1200,19 h,Yes (cold rolling),20 °C (room temperature),60,0,,,1,700,16 h,Face‐Centered Cubic (FCC) solid solution (Classification: 1 [FCC]),50.4,L12 (ordered Ni3Al),33.7(diameter),49.6,,,,,,,1170(tensile fracture strength),,1000,,,6,,,,,,,,,,
A novel face-centered-cubic high-entropy alloy strengthened by nanoscale precipitates,FCC Co9Cr7Cu36Mn25Ni23 HEA,0,23,9,25,7,0,0,36,0,0,0,0,0,0,0,,,0,,,0,,,0,,,"FCC (225, Cu rich)",,"FCC (225, Co and Cr rich)",3–8 nm,,,,,,,,700,,401,,,36,,,,,,,,,,
Aluminum and titanium alloyed non-equiatomic Co–Fe–Ni medium-entropy alloy with ultra high strength and hardness,CoFeNiTi0.4,29.4(ideal composition in theory),29.4(ideal composition in theory),29.4(ideal composition in theory),0,0,0,11.7,0,0,0,0,0,0,0,1,1100,24,0,,,0,,,0,,,Body‐Centered Cubic (BCC) (Classification: 2),~100%,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminum and titanium alloyed non-equiatomic Co–Fe–Ni medium-entropy alloy with ultra high strength and hardness,WAl0.1,32.2,32.2,32.2,0,0,3.2,0,0,0,0,0,0,0,0,1,1100,24,0,,,0,,,0,,,Face‐Centered Cubic (FCC) [Classification code: 1],100,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminum and titanium alloyed non-equiatomic Co–Fe–Ni medium-entropy alloy with ultra high strength and hardness,WAl0.4,29.4,29.4,29.4,0,0,11.7,0,0,0,0,0,0,0,0,1,1100,24,0,,,0,,,0,,,Face‐Centered Cubic (FCC) [classified as “1”],100,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminum and titanium alloyed non-equiatomic Co–Fe–Ni medium-entropy alloy with ultra high strength and hardness,W,33.3,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,1,1100,24,0,,,0,,,0,,,Face‐Centered Cubic (FCC) (classified as 1),100,,,,,,,,,,,2769 ± 14 MPa,,131 ± 1,179 ± 3 HV,,,,,,,,,,,
Aluminum and titanium alloyed non-equiatomic Co–Fe–Ni medium-entropy alloy with ultra high strength and hardness,WAl0.6,27.78(ideal composition in theory),27.78(ideal composition in theory),27.78(ideal composition in theory),0,0,16.67(ideal composition in theory),0,0,0,0,0,0,0,0,1,1100,24,0,,,0,,,0,,,"Face‐Centered Cubic (FCC, classified as 1)",,"B2 phase (NiAl‐rich phase formed by Al addition, classified as 3)",,,,,,,,,,,,395,302,,,,,,,,,,,
Aluminum and titanium alloyed non-equiatomic Co–Fe–Ni medium-entropy alloy with ultra high strength and hardness,WAl0.5Ti0.5,25(ideal composition in theory),25(ideal composition in theory),25(ideal composition in theory),0,0,12.5(ideal composition in theory),12.5(ideal composition in theory),0,0,0,0,0,0,0,1,1100,24,0,,,0,,,0,,,Face‐Centered Cubic (FCC) (classified as 1),,Body‐Centered Cubic (BCC) (classified as 7),,,Ordered L12 phase (classified as 1),,,,,,,3246 ± 12 MPa,,2078 ± 10 MPa,750 ± 9 HV,,13.7 ± 0.5%,,,,,,,,,
Aluminum and titanium alloyed non-equiatomic Co–Fe–Ni medium-entropy alloy with ultra high strength and hardness,WAl0.4Ti0.6,25(ideal composition in theory),25(ideal composition in theory),25(ideal composition in theory),0,0,12.5(ideal composition in theory),12.5(ideal composition in theory),0,0,0,0,0,0,0,1,1100,24,0,,,0,,,0,,,Face‐Centered Cubic (FCC) (classified as 1),,Body‐Centered Cubic (BCC) (classified as 7),,,Ordered L12 phase (classified as 1),smaller than 100 nm,,,,,,3123 ± 10 MPa,,2244 ± 11 MPa,775 ± 11 HV,,11.6 ± 0.3%,,,,,,,,,
Aluminum and titanium alloyed non-equiatomic Co–Fe–Ni medium-entropy alloy with ultra high strength and hardness,WAl0.3Ti0.7,25(ideal composition in theory),25(ideal composition in theory),25(ideal composition in theory),0,0,7.5(ideal composition in theory),17.5(ideal composition in theory),0,0,0,0,0,0,0,1,1100,24,0,,,0,,,0,,,1,,1,434 and 34,,8,,,,,,,2769 ± 12 MPa,,2250 ± 9 MPa,774 ± 10 HV,,6.4 ± 0.5%,,,,,,,,,
Coherent precipitation and strengthening in a dual-phase AlNi2Co2Fe1.5Cr1.5 high-entropy alloy,AlNi2Co2Fe1.5Cr1.5 HEA S1,18.75,25,25,0,18.75,12.5,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,1,85,7,60,15,,,,,,,,,346,,205,,,,,,,,,,,
Coherent precipitation and strengthening in a dual-phase AlNi2Co2Fe1.5Cr1.5 high-entropy alloy,AlNi2Co2Fe1.5Cr1.5 HEA S2,18.75,25,25,0,18.75,12.5,0,0,0,0,0,0,0,0,0,,,Yes (Cold Rolling),Room temperature (20 °C),70,0,,,0,,,1,85,7,58,15,,,,,,,,,,,431,,,,,,,,,,,
Coherent precipitation and strengthening in a dual-phase AlNi2Co2Fe1.5Cr1.5 high-entropy alloy,AlNi2Co2Fe1.5Cr1.5 HEA S3,18.75,25,25,0,18.75,12.5,0,0,0,0,0,0,0,0,Yes,1573 K (approx. 1300 °C),2 hours,Yes (Cold Rolling),Room temperature (20 °C),70,0,,,0,,,1,92,7,10,8,,,,,,,637,,302,,197,,,,,,,,,,,
Coherent precipitation and strengthening in a dual-phase AlNi2Co2Fe1.5Cr1.5 high-entropy alloy,AlNi2Co2Fe1.5Cr1.5 HEA S4,18.75,25,25,0,18.75,12.5,0,0,0,0,0,0,0,0,Yes,1573 K (approx. 1300 °C),2 hours,Yes (Cold Rolling),Room temperature (20 °C),70,0,,,1,923 K (approx. 650 °C),4 hours,1,~45,7,10,24,1,8,31,,,,1077,,772,,385,26,,,,,,,,,,
Coherent precipitation and strengthening in a dual-phase AlNi2Co2Fe1.5Cr1.5 high-entropy alloy,AlNi2Co2Fe1.5Cr1.5 HEA S5,18.75,25,25,0,18.75,12.5,0,0,0,0,0,0,0,0,Yes,1573 K (approx. 1300 °C),2 hours,Yes (Cold Rolling),Room temperature (20 °C),70,0,,,1,923 K (approx. 650 °C),213 hours,1,~50,7,26,24,1,57,26,,,,1240,,869,,468,12.4,,,,,,,,,,
Contrasting mechanical behavior in precipitation hardenable AlXCoCrFeNi high entropy alloy microstructures Single phase FCC vs. dual phase FCCBCC,Al0.3CoCrFeNi - 0.3HM,23.3,23.3,23.3,0,23.3,7,0,0,0,0,0,0,0,0,High temperature homogenization (details not specified),,,Cold rolling,20,50,Annealing for recrystallization and homogenization,1150,1 hour,0,,,Face‐centered cubic (FCC) [Classification: 1],100,,,,,,,,,,,,160,,,64,,,,,,,,,,
Contrasting mechanical behavior in precipitation hardenable AlXCoCrFeNi high entropy alloy microstructures Single phase FCC vs. dual phase FCCBCC,Al0.3CoCrFeNi - 0.3HM-550,23.3,23.3,23.3,0,23.3,7,0,0,0,0,0,0,0,0,1,,,Cold rolling,20,50,Annealing for recrystallization and homogenization,1150,1 hour,1,550,150 hours,Face‐Centered Cubic (FCC) (Classification value: 1),"Nearly the entire microstructure (the solutionized 0.3HM condition was single‐phase FCC; after aging the FCC matrix remains dominant, with only a small fraction of precipitates)",Ordered L12 precipitate (Classification value: 1),3 to 10 nm,,,,,,,,,,250,,,56,,,,,,,,,,
Contrasting mechanical behavior in precipitation hardenable AlXCoCrFeNi high entropy alloy microstructures Single phase FCC vs. dual phase FCCBCC,Al0.7CoCrFeNi - 0.7HM,21.3,21.3,21.3,0,21.3,14.9,0,0,0,0,0,0,0,0,1,,,Cold rolling,20,30,Annealing for recrystallization and homogenization,1100,5 minutes,0,,,Disordered face‐centered cubic (FCC) [Classification code: 1],,"Mixed BCC/B2 phase [BCC: 7, B2: 3; B2 features observed]",,,,,,,,,,,830,,,20,,,,,,,,,,
Contrasting mechanical behavior in precipitation hardenable AlXCoCrFeNi high entropy alloy microstructures Single phase FCC vs. dual phase FCCBCC,Al0.7CoCrFeNi - 0.7HM-580,21.3,21.3,21.3,0,21.3,14.9,0,0,0,0,0,0,0,0,1,,,Cold rolling,20,30,Annealing for recrystallization and homogenization,1100,5 minutes,1,580,24 hours,Face‐centered cubic (FCC),70,L12 (ordered intermetallic),3–10 nm,,B2 (ordered BCC),,,,,,,,1076,,,20,,,,,,,,,,
Cu assisted stabilization and nucleation of L12 precipitates in Al0.3CuFeCrNi2 fcc-based high entropy alloy,Al0.3CuFeCrNi2 High-Entropy Alloy - As-Cast,18.9,37.7,0,0,18.9,5.7,0,18.9,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face-Centered Cubic (fcc),,Interdendritic Cu‐rich phase,,,,,,,,,,,,,,,,,,,,,,,,
Cu assisted stabilization and nucleation of L12 precipitates in Al0.3CuFeCrNi2 fcc-based high entropy alloy,Al0.3CuFeCrNi2 High-Entropy Alloy - CR-SA,18.9,37.7,0,0,18.9,5.7,0,18.9,0,0,0,0,0,0,0,,,1,20,20,1,1000,3,0,,,Face-Centered Cubic (fcc),100,,,,,,,,,,,,,,,,,,,,,,,,,
Cu assisted stabilization and nucleation of L12 precipitates in Al0.3CuFeCrNi2 fcc-based high entropy alloy,Al0.3CrCuFeNi2 - CR-SA-550,18.9,37.7,0,0,18.9,5.7,0,18.9,0,0,0,0,0,0,0,,,Cold Rolling (CR),20°C,20%,"Recrystallization occurred during solution annealing, resulting in an equiaxed, strain‐free microstructure",1000°C,3 h (≈180 min),1,550°C,150 h,face-centered cubic (fcc) (code 1),,L12 (ordered) (code 1),5,,FCC Cu (code 8),5,,,,,,,,,,,,,,,,,,,,
Cu assisted stabilization and nucleation of L12 precipitates in Al0.3CuFeCrNi2 fcc-based high entropy alloy,Al0.3CrCuFeNi2 - CR-SA-700,18.9,37.7,0,0,18.9,5.7,0,18.9,0,0,0,0,0,0,0,,,Cold Rolling (CR),20°C,20%,"Recrystallization occurred during solution annealing, resulting in an equiaxed, strain‐free microstructure",1000°C,3 h (≈180 min),1,700°C,50 h,Face‐Centered Cubic (fcc) [Code = 1],,Ordered L1₂ phase (denoted “g₀”) [Code = 1],75,,Cu‐rich phase that is essentially disordered (the Cu‐rich regions have nearly the same fcc lattice as the matrix) [Code = 8 for FCC],75,,,,,,,,,,,,,,,,,,,,
Cu assisted stabilization and nucleation of L12 precipitates in Al0.3CuFeCrNi2 fcc-based high entropy alloy,Al0.3CrCuFeNi2 - CR-SA-800,18.9,37.7,0,0,18.9,5.7,0,18.9,0,0,0,0,0,0,0,,,Cold Rolling (CR),20°C,20%,"Recrystallization occurred during solution annealing, resulting in an equiaxed, strain‐free microstructure",1000°C,3 h (≈180 min),1,800°C,20 h,face‐centered cubic (fcc) (code 1),,Ordered L1₂ phase (g₀ precipitates) (code 1),,,"Cu‐rich, disordered phase with fcc structure (code 8)",,,,,,,,,,,,,,,,,,,,,
Cu assisted stabilization and nucleation of L12 precipitates in Al0.3CuFeCrNi2 fcc-based high entropy alloy,Al0.3CrCuFeNi2 - CR-SA-900,18.9,37.7,0,0,18.9,5.7,0,18.9,0,0,0,0,0,0,0,,,Cold Rolling (CR),20°C,20%,"Recrystallization occurred during solution annealing, resulting in an equiaxed, strain‐free microstructure",1000°C,3 h (≈180 min),1,900°C,20 h,Face‐centered cubic (fcc),,L1₂ (ordered gamma‐prime),,,Disordered fcc (Cu–rich),,,,,,,,,,,,,,,,,,,,,
Cu assisted stabilization and nucleation of L12 precipitates in Al0.3CuFeCrNi2 fcc-based high entropy alloy,Al0.3CrCuFeNi2 - CR-SA-935,18.9,37.7,,,18.9,5.7,,18.9,,,,,,,0,,,1,20°C,20%,1,1000°C,180 min,1,935°C,20 h,1,,8,,,0,,,0,,,,,,,,,,,,,,,,,,
Deformation stimulated precipitation of a single-phase CoCrFeMnNi high entropy alloy,Equiatomic CoCrFeMnNi HEA - Recovery,20,20,20,20,20,0,0,0,0,0,0,0,0,0,Yes,1200,8,Cold rolled from 10 mm thick plates at room temperature,20,95,0,,,1,600,10min,"1 (face‐centered cubic, FCC)",nearly 100% of the microstructure (dominant phase with only minor secondary phase formation observed),6 (σ‐phase; Cr‐rich sigma phase),tens of nanometers (observed in dislocation walls),minor fraction (not quantitatively specified),,,,,,,,,,,,,,,,,,,,,,
Deformation stimulated precipitation of a single-phase CoCrFeMnNi high entropy alloy,Equiatomic CoCrFeMnNi HEA - Recrystallized,20,20,20,20,20,0,0,0,0,0,0,0,0,0,Yes,1200,8,Cold rolled from 10 mm thick plates at room temperature,20,95,1,700,40,0,,,"1 (face‐centered cubic, FCC)",dominant phase (approximately 95% with a minor fraction of Cr‐rich sigma phase precipitates),6 (σ‐phase; Cr‐rich sigma phase),tens of nanometers,minor fraction (not quantitatively specified),,,,,,,,,,,,,,,,,,,,,,
Deformation stimulated precipitation of a single-phase CoCrFeMnNi high entropy alloy,Equiatomic CoCrFeMnNi HEA - Fully Recrystallized,20,20,20,20,20,0,0,0,0,0,0,0,0,0,Yes,1200,8,Cold rolled from 10 mm thick plates at room temperature,20,95,1,1100,360,1,700,300min,Face‐centered cubic (FCC; classified as '1'),Nearly 100% (X‐ray diffraction shows only the FCC phase),,,,,,,,,,,,,,,,,,,,,,,,,
Ductilizing brittle high-entropy alloys via tailoring valence electron concentrations of precipitates by controlled elemental partitioning,Ni56.4−xCoxFe18.8Cr18.8Ti6 (x=0),18.8,56.4,0,0,18.8,0,6,0,0,0,0,0,0,0,Yes,1175 °C,2 hr,Yes,Room temperature → 20 °C,Approximately 65% thickness reduction (final thickness ≈ 1.7 mm),Yes,1175 °C,2 min,1,780 °C,24 hr,"Face‐Centered Cubic (FCC) (γ phase, coded: 1)",67,"η Phase (Ni3Ti‐type, hexagonally ordered, coded: 4)",64 ± 30 nm,33,,,,,,,1000,,,,,7,,,,,,,,,,
Ductilizing brittle high-entropy alloys via tailoring valence electron concentrations of precipitates by controlled elemental partitioning,Ni56.4−xCoxFe18.8Cr18.8Ti6 (x=18.8),18.8,37.6,18.8,0,18.8,0,6,0,0,0,0,0,0,0,Yes,1175 °C,2 hr,Yes,Room temperature → 20 °C,Approximately 65% thickness reduction (final thickness ≈ 1.7 mm),Yes,1175 °C,2 min,1,780 °C,24 hr,"Face‐centered cubic (γ phase, coded: 1)",,"η Phase (Ni3Ti‐type, hexagonally ordered, coded: 4)",,,"L12‐type γ′ phase (ordered‐FCC, coded: 1)",,,,,,,,,,,9,,,,,,,,,,
Ductilizing brittle high-entropy alloys via tailoring valence electron concentrations of precipitates by controlled elemental partitioning,Ni56.4−xCoxFe18.8Cr18.8Ti6 (x=28.2),18.8,28.2,28.2,0,18.8,0,6,0,0,0,0,0,0,0,Yes,1175 °C,2 hr,Yes,Room temperature → 20 °C,Approximately 65% thickness reduction (final thickness ≈ 1.7 mm),Yes,1175 °C,2 min,1,780 °C,24 hr,"Face‐centered cubic (γ phase, coded: 1)",60–70%,"η Phase (Ni3Ti‐type, hexagonally ordered, coded: 4)",,Lower than 33% (reduced relative to C1),"L12‐type γ′ phase (ordered‐FCC, coded: 1)",,,,,,,,,,,23,,,,,,,,,,
Ductilizing brittle high-entropy alloys via tailoring valence electron concentrations of precipitates by controlled elemental partitioning,Ni56.4−xCoxFe18.8Cr18.8Ti6 (x=37.6),18.8,18.8,37.6,0,18.8,0,6,0,0,0,0,0,0,0,Yes,1175 °C,2 hr,Yes,Room temperature → 20 °C,Approximately 65% thickness reduction (final thickness ≈ 1.7 mm),Yes,1175 °C,2 min,1,780 °C,24 hr,"Face‐centered cubic (FCC) (γ phase, Classification: 1)",62,"L12‐type γ′ precipitate (ordered‐FCC, Classification: 1)",39 ± 6 nm,38,,,,,,,1350,,,,,35,,,,,,,,,,
Fine-scale precipitation in the high-entropy alloy Al0.5CrFeCoNiCu,Al0.5CrFeCoNiCu (As-Cast),18.2,18.2,18.2,0,18.2,9.1,0,18.2,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face–centred cubic (fcc) [Classification: 1],,"L12 phase (Ni– and Al–rich, with some Cu solubility) [Classification: 1]",Fine– or nano–scale (cuboidal particles observed; larger in the dendritic regions),,"Face–centred cubic (fcc) precipitates (enriched in Cr, Co, Fe & Ni) [Classification: 8]","Fine, with a rectangular cross–section (nanoscale details observed in the interdendritic regions)",,,,,,,,,,,,,,,,,,,,
Fine-scale precipitation in the high-entropy alloy Al0.5CrFeCoNiCu,Al0.5CrFeCoNiCu (Aged),18.2,18.2,18.2,0,18.2,9.1,0,18.2,0,0,0,0,0,0,0,,,0,,,0,,,1,1000,1000,"Face–centred cubic (FCC, classified as “1”)",,L12 (classified as “1”),"Coarse in interdendritic regions and moderately fine in dendritic regions (tens to hundreds of nanometers, with interdendritic precipitates noticeably coarser)",,FCC (classified as “8”),Small precipitates observed in the Cu-rich interdendritic areas,,,,,,,,,,,,,,,,,,,,
Growth kinetics of σ-phase precipitates and underlying diffusion processes in CrMnFeCoNi high-entropy alloys,Cr–Mn–Fe–Co–Ni HEA aged at 600 °C,20,14,20,20,26,0,0,0,0,0,0,0,0,0,0,,,0,,,"Solution annealed and recrystallized for 15 min at 1080 °C, followed by air cooling",1080,15,1,600,up to 1000 h,FCC,100,σ phase,,,,,,,,,,,,,,,,,,,,,,,,
Growth kinetics of σ-phase precipitates and underlying diffusion processes in CrMnFeCoNi high-entropy alloys,Cr–Mn–Fe–Co–Ni HEA aged at 700 °C,20,14,20,20,26,0,0,0,0,0,0,0,0,0,0,,,0,,,"Solution annealed and recrystallized for 15 min at 1080 °C, followed by air cooling",1080,15,1,700,up to 1000 h,FCC,100,σ phase,,,,,,,,,,,,,,,,,,,,,,,,
Growth kinetics of σ-phase precipitates and underlying diffusion processes in CrMnFeCoNi high-entropy alloys,Cr–Mn–Fe–Co–Ni HEA aged at 800 °C,20,14,20,20,26,0,0,0,0,0,0,0,0,0,0,,,0,,,"Solution annealed and recrystallized for 15 min at 1080 °C, followed by air cooling",1080,15,1,800,up to 1000 h,FCC,74,σ phase,Spherical precipitates within grains and plate‐shaped at grain boundaries,26,,,,,,,,,,,,,,,,,,,,,,
